Permalink,Creator,Object title,Type,Format,Licence,Date (From),Date (To),Date (Appendix),Image number,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19 
 https://gams.uni-graz.at/o:vase.1 ," Karastoyanov, Dimitar Anastasov ", Rest before the battle. ,Postcard,Not specified,Creative Commons [CC BY-NC-ND 3.0],1912,1913,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1001 ," Jovanović, Anastas ", Studio portrait of Katarina Hadži Popović ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1862,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1001/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1001/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1002 ," Jovanović, Anastas ", Young woman in town attire ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1860,1890,  ,1, https://gams.uni-graz.at/archive/objects/o:vase.1002/datastreams/IMAGE.1/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1003 ," Jovanović, Anastas ", Studio portrait of Princess Julija Obrenović ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1855,1860,  ,1, https://gams.uni-graz.at/archive/objects/o:vase.1003/datastreams/IMAGE.1/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1004 ," Jovanović, Anastas ", Studio portrait of Marija Jovanović ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1860,, before ,1, https://gams.uni-graz.at/archive/objects/o:vase.1004/datastreams/IMAGE.1/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1005 ," Jovanović, Anastas ", Princess Julija Obrenović ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1855,1860,  ,1, https://gams.uni-graz.at/archive/objects/o:vase.1005/datastreams/IMAGE.1/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1006 ," Jovanović, Anastas ", Head shot of woman with elegant headgear ,Photograph,Mignon/ Pokorny,Creative Commons [CC BY-NC-ND 3.0],1882,1910,  ,1, https://gams.uni-graz.at/archive/objects/o:vase.1006/datastreams/IMAGE.1/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1007 ," Stojanović/Karastoyanov, Anastas Nikolov ", Young woman in town attire and 'libade' ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1880,, before ,2, https://gams.uni-graz.at/archive/objects/o:vase.1007/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1007/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1008 ," Stojanović/Karastoyanov, Anastas Nikolov ", Studio portrait of a woman in dark elegant dress ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1880,, before ,2, https://gams.uni-graz.at/archive/objects/o:vase.1008/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1008/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1009 ," Stojanović/Karastoyanov, Anastas Nikolov ", Studio portrait of a man and two children ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1860,1870,  ,1, https://gams.uni-graz.at/archive/objects/o:vase.1009/datastreams/IMAGE.1/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
